1,1,0.0274168,PonPokoAgent@0,(Offer  bid:Bid[Number of Wind Turbines: larger than 80, less than or equal to 100, Price Per Wind Turbine: fair, Sound: nearly slient, Spacing: fairly close, Size Of Wind Turbines: smaller than most of wind turbines around the world, Onshore or Offshore: offshore, Material: glass fiber])
67,2,0.3608875333333333,boa-C..Users.ana.Documents.University.Delft.Year.1.Quarter.1.Artificial.Intelligence.Techniques.Practical.Assignments.A2.babygenius2.Assign2.bin.ai2019.group18.Bidder-C..Users.ana.Documents.University.Delft.Year.1.Quarter.1.Artificial.Intelligence.Techniques.Practical.Assignments.A2.babygenius2.Assign2.bin.ai2019.group18.Acceptor-C..Users.ana.Documents.University.Delft.Year.1.Quarter.1.Artificial.Intelligence.Techniques.Practical.Assignments.A2.babygenius2.Assign2.bin.ai2019.group18.OM-C..Users.ana.Documents.University.Delft.Year.1.Quarter.1.Artificial.Intelligence.Techniques.Practical.Assignments.A2.babygenius2.Assign2.bin.ai2019.group18.Strategist@1,(Offer  bid:Bid[Number of Wind Turbines: larger than 100, less than or equal to 120, Price Per Wind Turbine: fair, Sound: loud and noisy, Spacing: far to each other, Size Of Wind Turbines: largest in the world, Onshore or Offshore: offshore, Material: carbon fiber])
68,1,0.3614330666666667,PonPokoAgent@0,(Offer  bid:Bid[Number of Wind Turbines: larger than 100, less than or equal to 120, Price Per Wind Turbine: expensive, Sound: nearly slient, Spacing: as close as possible, Size Of Wind Turbines: largest in the world, Onshore or Offshore: offshore, Material: carbon fiber])
68,2,0.37238716666666666,boa-C..Users.ana.Documents.University.Delft.Year.1.Quarter.1.Artificial.Intelligence.Techniques.Practical.Assignments.A2.babygenius2.Assign2.bin.ai2019.group18.Bidder-C..Users.ana.Documents.University.Delft.Year.1.Quarter.1.Artificial.Intelligence.Techniques.Practical.Assignments.A2.babygenius2.Assign2.bin.ai2019.group18.Acceptor-C..Users.ana.Documents.University.Delft.Year.1.Quarter.1.Artificial.Intelligence.Techniques.Practical.Assignments.A2.babygenius2.Assign2.bin.ai2019.group18.OM-C..Users.ana.Documents.University.Delft.Year.1.Quarter.1.Artificial.Intelligence.Techniques.Practical.Assignments.A2.babygenius2.Assign2.bin.ai2019.group18.Strategist@1,(Offer  bid:Bid[Number of Wind Turbines: larger than 100, less than or equal to 120, Price Per Wind Turbine: fair, Sound: loud and noisy, Spacing: far to each other, Size Of Wind Turbines: largest in the world, Onshore or Offshore: offshore, Material: carbon fiber])
69,1,0.3729256,PonPokoAgent@0,(Offer  bid:Bid[Number of Wind Turbines: larger than 40, less than or equal to 60, Price Per Wind Turbine: fair, Sound: nearly slient, Spacing: far to each other, Size Of Wind Turbines: smaller than most of wind turbines around the world, Onshore or Offshore: offshore, Material: glass fiber])
69,2,0.37520726666666665,boa-C..Users.ana.Documents.University.Delft.Year.1.Quarter.1.Artificial.Intelligence.Techniques.Practical.Assignments.A2.babygenius2.Assign2.bin.ai2019.group18.Bidder-C..Users.ana.Documents.University.Delft.Year.1.Quarter.1.Artificial.Intelligence.Techniques.Practical.Assignments.A2.babygenius2.Assign2.bin.ai2019.group18.Acceptor-C..Users.ana.Documents.University.Delft.Year.1.Quarter.1.Artificial.Intelligence.Techniques.Practical.Assignments.A2.babygenius2.Assign2.bin.ai2019.group18.OM-C..Users.ana.Documents.University.Delft.Year.1.Quarter.1.Artificial.Intelligence.Techniques.Practical.Assignments.A2.babygenius2.Assign2.bin.ai2019.group18.Strategist@1,(Offer  bid:Bid[Number of Wind Turbines: larger than 100, less than or equal to 120, Price Per Wind Turbine: fair, Sound: loud and noisy, Spacing: far to each other, Size Of Wind Turbines: largest in the world, Onshore or Offshore: offshore, Material: carbon fiber])
70,1,0.3756617666666667,PonPokoAgent@0,(Offer  bid:Bid[Number of Wind Turbines: larger than 60, less than or equal to 80, Price Per Wind Turbine: fair, Sound: nearly slient, Spacing: as close as possible, Size Of Wind Turbines: average size of wind turbines around the world, Onshore or Offshore: offshore, Material: carbon fiber])
70,2,0.3769202,boa-C..Users.ana.Documents.University.Delft.Year.1.Quarter.1.Artificial.Intelligence.Techniques.Practical.Assignments.A2.babygenius2.Assign2.bin.ai2019.group18.Bidder-C..Users.ana.Documents.University.Delft.Year.1.Quarter.1.Artificial.Intelligence.Techniques.Practical.Assignments.A2.babygenius2.Assign2.bin.ai2019.group18.Acceptor-C..Users.ana.Documents.University.Delft.Year.1.Quarter.1.Artificial.Intelligence.Techniques.Practical.Assignments.A2.babygenius2.Assign2.bin.ai2019.group18.OM-C..Users.ana.Documents.University.Delft.Year.1.Quarter.1.Artificial.Intelligence.Techniques.Practical.Assignments.A2.babygenius2.Assign2.bin.ai2019.group18.Strategist@1,(Offer  bid:Bid[Number of Wind Turbines: larger than 100, less than or equal to 120, Price Per Wind Turbine: fair, Sound: loud and noisy, Spacing: far to each other, Size Of Wind Turbines: largest in the world, Onshore or Offshore: offshore, Material: carbon fiber])
71,1,0.3773125666666666,PonPokoAgent@0,(Offer  bid:Bid[Number of Wind Turbines: larger than 40, less than or equal to 60, Price Per Wind Turbine: very expensive, Sound: nearly slient, Spacing: far to each other, Size Of Wind Turbines: smallest in the world, Onshore or Offshore: offshore, Material: glass fiber])
71,2,0.37803549999999997,boa-C..Users.ana.Documents.University.Delft.Year.1.Quarter.1.Artificial.Intelligence.Techniques.Practical.Assignments.A2.babygenius2.Assign2.bin.ai2019.group18.Bidder-C..Users.ana.Documents.University.Delft.Year.1.Quarter.1.Artificial.Intelligence.Techniques.Practical.Assignments.A2.babygenius2.Assign2.bin.ai2019.group18.Acceptor-C..Users.ana.Documents.University.Delft.Year.1.Quarter.1.Artificial.Intelligence.Techniques.Practical.Assignments.A2.babygenius2.Assign2.bin.ai2019.group18.OM-C..Users.ana.Documents.University.Delft.Year.1.Quarter.1.Artificial.Intelligence.Techniques.Practical.Assignments.A2.babygenius2.Assign2.bin.ai2019.group18.Strategist@1,(Offer  bid:Bid[Number of Wind Turbines: larger than 100, less than or equal to 120, Price Per Wind Turbine: fair, Sound: loud and noisy, Spacing: far to each other, Size Of Wind Turbines: largest in the world, Onshore or Offshore: offshore, Material: carbon fiber])
72,1,0.3784398,PonPokoAgent@0,(Offer  bid:Bid[Number of Wind Turbines: less than or equal to 20, Price Per Wind Turbine: fair, Sound: nearly slient, Spacing: fairly close, Size Of Wind Turbines: smaller than most of wind turbines around the world, Onshore or Offshore: onshore, Material: carbon fiber])
72,2,0.3800830333333333,boa-C..Users.ana.Documents.University.Delft.Year.1.Quarter.1.Artificial.Intelligence.Techniques.Practical.Assignments.A2.babygenius2.Assign2.bin.ai2019.group18.Bidder-C..Users.ana.Documents.University.Delft.Year.1.Quarter.1.Artificial.Intelligence.Techniques.Practical.Assignments.A2.babygenius2.Assign2.bin.ai2019.group18.Acceptor-C..Users.ana.Documents.University.Delft.Year.1.Quarter.1.Artificial.Intelligence.Techniques.Practical.Assignments.A2.babygenius2.Assign2.bin.ai2019.group18.OM-C..Users.ana.Documents.University.Delft.Year.1.Quarter.1.Artificial.Intelligence.Techniques.Practical.Assignments.A2.babygenius2.Assign2.bin.ai2019.group18.Strategist@1,(Offer  bid:Bid[Number of Wind Turbines: larger than 100, less than or equal to 120, Price Per Wind Turbine: fair, Sound: loud and noisy, Spacing: far to each other, Size Of Wind Turbines: largest in the world, Onshore or Offshore: offshore, Material: carbon fiber])
73,1,0.38064096666666664,PonPokoAgent@0,(Offer  bid:Bid[Number of Wind Turbines: larger than 100, less than or equal to 120, Price Per Wind Turbine: very expensive, Sound: nearly slient, Spacing: far to each other, Size Of Wind Turbines: smaller than most of wind turbines around the world, Onshore or Offshore: offshore, Material: carbon fiber])
73,2,0.38202426666666667,boa-C..Users.ana.Documents.University.Delft.Year.1.Quarter.1.Artificial.Intelligence.Techniques.Practical.Assignments.A2.babygenius2.Assign2.bin.ai2019.group18.Bidder-C..Users.ana.Documents.University.Delft.Year.1.Quarter.1.Artificial.Intelligence.Techniques.Practical.Assignments.A2.babygenius2.Assign2.bin.ai2019.group18.Acceptor-C..Users.ana.Documents.University.Delft.Year.1.Quarter.1.Artificial.Intelligence.Techniques.Practical.Assignments.A2.babygenius2.Assign2.bin.ai2019.group18.OM-C..Users.ana.Documents.University.Delft.Year.1.Quarter.1.Artificial.Intelligence.Techniques.Practical.Assignments.A2.babygenius2.Assign2.bin.ai2019.group18.Strategist@1,(Offer  bid:Bid[Number of Wind Turbines: larger than 100, less than or equal to 120, Price Per Wind Turbine: fair, Sound: loud and noisy, Spacing: far to each other, Size Of Wind Turbines: largest in the world, Onshore or Offshore: offshore, Material: carbon fiber])
74,1,0.38264370000000003,PonPokoAgent@0,(Offer  bid:Bid[Number of Wind Turbines: larger than 120, less than or equal to 140, Price Per Wind Turbine: expensive, Sound: nearly slient, Spacing: as close as possible, Size Of Wind Turbines: larger than most of wind turbines around the world, Onshore or Offshore: offshore, Material: carbon fiber])
74,2,0.38443960000000005,boa-C..Users.ana.Documents.University.Delft.Year.1.Quarter.1.Artificial.Intelligence.Techniques.Practical.Assignments.A2.babygenius2.Assign2.bin.ai2019.group18.Bidder-C..Users.ana.Documents.University.Delft.Year.1.Quarter.1.Artificial.Intelligence.Techniques.Practical.Assignments.A2.babygenius2.Assign2.bin.ai2019.group18.Acceptor-C..Users.ana.Documents.University.Delft.Year.1.Quarter.1.Artificial.Intelligence.Techniques.Practical.Assignments.A2.babygenius2.Assign2.bin.ai2019.group18.OM-C..Users.ana.Documents.University.Delft.Year.1.Quarter.1.Artificial.Intelligence.Techniques.Practical.Assignments.A2.babygenius2.Assign2.bin.ai2019.group18.Strategist@1,(Offer  bid:Bid[Number of Wind Turbines: larger than 100, less than or equal to 120, Price Per Wind Turbine: fair, Sound: loud and noisy, Spacing: far to each other, Size Of Wind Turbines: largest in the world, Onshore or Offshore: offshore, Material: carbon fiber])
75,1,0.3856632,PonPokoAgent@0,(Offer  bid:Bid[Number of Wind Turbines: larger than 40, less than or equal to 60, Price Per Wind Turbine: very expensive, Sound: nearly slient, Spacing: far to each other, Size Of Wind Turbines: larger than most of wind turbines around the world, Onshore or Offshore: offshore, Material: glass fiber])
75,2,0.38661436666666665,boa-C..Users.ana.Documents.University.Delft.Year.1.Quarter.1.Artificial.Intelligence.Techniques.Practical.Assignments.A2.babygenius2.Assign2.bin.ai2019.group18.Bidder-C..Users.ana.Documents.University.Delft.Year.1.Quarter.1.Artificial.Intelligence.Techniques.Practical.Assignments.A2.babygenius2.Assign2.bin.ai2019.group18.Acceptor-C..Users.ana.Documents.University.Delft.Year.1.Quarter.1.Artificial.Intelligence.Techniques.Practical.Assignments.A2.babygenius2.Assign2.bin.ai2019.group18.OM-C..Users.ana.Documents.University.Delft.Year.1.Quarter.1.Artificial.Intelligence.Techniques.Practical.Assignments.A2.babygenius2.Assign2.bin.ai2019.group18.Strategist@1,(Offer  bid:Bid[Number of Wind Turbines: larger than 100, less than or equal to 120, Price Per Wind Turbine: fair, Sound: loud and noisy, Spacing: far to each other, Size Of Wind Turbines: largest in the world, Onshore or Offshore: offshore, Material: carbon fiber])
76,1,0.38782863333333334,PonPokoAgent@0,(Offer  bid:Bid[Number of Wind Turbines: larger than 40, less than or equal to 60, Price Per Wind Turbine: fair, Sound: nearly slient, Spacing: far to each other, Size Of Wind Turbines: smaller than most of wind turbines around the world, Onshore or Offshore: offshore, Material: glass fiber])
76,2,0.3886366666666667,boa-C..Users.ana.Documents.University.Delft.Year.1.Quarter.1.Artificial.Intelligence.Techniques.Practical.Assignments.A2.babygenius2.Assign2.bin.ai2019.group18.Bidder-C..Users.ana.Documents.University.Delft.Year.1.Quarter.1.Artificial.Intelligence.Techniques.Practical.Assignments.A2.babygenius2.Assign2.bin.ai2019.group18.Acceptor-C..Users.ana.Documents.University.Delft.Year.1.Quarter.1.Artificial.Intelligence.Techniques.Practical.Assignments.A2.babygenius2.Assign2.bin.ai2019.group18.OM-C..Users.ana.Documents.University.Delft.Year.1.Quarter.1.Artificial.Intelligence.Techniques.Practical.Assignments.A2.babygenius2.Assign2.bin.ai2019.group18.Strategist@1,(Offer  bid:Bid[Number of Wind Turbines: larger than 100, less than or equal to 120, Price Per Wind Turbine: fair, Sound: loud and noisy, Spacing: far to each other, Size Of Wind Turbines: largest in the world, Onshore or Offshore: offshore, Material: carbon fiber])
77,1,0.38906823333333335,PonPokoAgent@0,(Offer  bid:Bid[Number of Wind Turbines: larger than 80, less than or equal to 100, Price Per Wind Turbine: fair, Sound: nearly slient, Spacing: fairly close, Size Of Wind Turbines: largest in the world, Onshore or Offshore: onshore, Material: glass fiber])
77,2,0.3924383333333333,boa-C..Users.ana.Documents.University.Delft.Year.1.Quarter.1.Artificial.Intelligence.Techniques.Practical.Assignments.A2.babygenius2.Assign2.bin.ai2019.group18.Bidder-C..Users.ana.Documents.University.Delft.Year.1.Quarter.1.Artificial.Intelligence.Techniques.Practical.Assignments.A2.babygenius2.Assign2.bin.ai2019.group18.Acceptor-C..Users.ana.Documents.University.Delft.Year.1.Quarter.1.Artificial.Intelligence.Techniques.Practical.Assignments.A2.babygenius2.Assign2.bin.ai2019.group18.OM-C..Users.ana.Documents.University.Delft.Year.1.Quarter.1.Artificial.Intelligence.Techniques.Practical.Assignments.A2.babygenius2.Assign2.bin.ai2019.group18.Strategist@1,(Offer  bid:Bid[Number of Wind Turbines: larger than 100, less than or equal to 120, Price Per Wind Turbine: fair, Sound: loud and noisy, Spacing: far to each other, Size Of Wind Turbines: largest in the world, Onshore or Offshore: offshore, Material: carbon fiber])
78,1,0.3934391666666666,PonPokoAgent@0,(Offer  bid:Bid[Number of Wind Turbines: larger than 20, less than or equal to 40, Price Per Wind Turbine: expensive, Sound: nearly slient, Spacing: far to each other, Size Of Wind Turbines: smallest in the world, Onshore or Offshore: offshore, Material: glass fiber])
78,2,0.39431246666666664,boa-C..Users.ana.Documents.University.Delft.Year.1.Quarter.1.Artificial.Intelligence.Techniques.Practical.Assignments.A2.babygenius2.Assign2.bin.ai2019.group18.Bidder-C..Users.ana.Documents.University.Delft.Year.1.Quarter.1.Artificial.Intelligence.Techniques.Practical.Assignments.A2.babygenius2.Assign2.bin.ai2019.group18.Acceptor-C..Users.ana.Documents.University.Delft.Year.1.Quarter.1.Artificial.Intelligence.Techniques.Practical.Assignments.A2.babygenius2.Assign2.bin.ai2019.group18.OM-C..Users.ana.Documents.University.Delft.Year.1.Quarter.1.Artificial.Intelligence.Techniques.Practical.Assignments.A2.babygenius2.Assign2.bin.ai2019.group18.Strategist@1,(Offer  bid:Bid[Number of Wind Turbines: larger than 100, less than or equal to 120, Price Per Wind Turbine: fair, Sound: loud and noisy, Spacing: far to each other, Size Of Wind Turbines: largest in the world, Onshore or Offshore: offshore, Material: carbon fiber])
79,1,0.39479453333333336,PonPokoAgent@0,(Offer  bid:Bid[Number of Wind Turbines: larger than 80, less than or equal to 100, Price Per Wind Turbine: fair, Sound: nearly slient, Spacing: far to each other, Size Of Wind Turbines: smaller than most of wind turbines around the world, Onshore or Offshore: offshore, Material: carbon fiber])
79,2,0.39557373333333334,boa-C..Users.ana.Documents.University.Delft.Year.1.Quarter.1.Artificial.Intelligence.Techniques.Practical.Assignments.A2.babygenius2.Assign2.bin.ai2019.group18.Bidder-C..Users.ana.Documents.University.Delft.Year.1.Quarter.1.Artificial.Intelligence.Techniques.Practical.Assignments.A2.babygenius2.Assign2.bin.ai2019.group18.Acceptor-C..Users.ana.Documents.University.Delft.Year.1.Quarter.1.Artificial.Intelligence.Techniques.Practical.Assignments.A2.babygenius2.Assign2.bin.ai2019.group18.OM-C..Users.ana.Documents.University.Delft.Year.1.Quarter.1.Artificial.Intelligence.Techniques.Practical.Assignments.A2.babygenius2.Assign2.bin.ai2019.group18.Strategist@1,(Offer  bid:Bid[Number of Wind Turbines: larger than 100, less than or equal to 120, Price Per Wind Turbine: fair, Sound: loud and noisy, Spacing: far to each other, Size Of Wind Turbines: largest in the world, Onshore or Offshore: offshore, Material: carbon fiber])
80,1,0.3979414666666667,PonPokoAgent@0,(Offer  bid:Bid[Number of Wind Turbines: larger than 20, less than or equal to 40, Price Per Wind Turbine: expensive, Sound: nearly slient, Spacing: fairly close, Size Of Wind Turbines: smaller than most of wind turbines around the world, Onshore or Offshore: onshore, Material: carbon fiber])
80,2,0.40004586666666664,boa-C..Users.ana.Documents.University.Delft.Year.1.Quarter.1.Artificial.Intelligence.Techniques.Practical.Assignments.A2.babygenius2.Assign2.bin.ai2019.group18.Bidder-C..Users.ana.Documents.University.Delft.Year.1.Quarter.1.Artificial.Intelligence.Techniques.Practical.Assignments.A2.babygenius2.Assign2.bin.ai2019.group18.Acceptor-C..Users.ana.Documents.University.Delft.Year.1.Quarter.1.Artificial.Intelligence.Techniques.Practical.Assignments.A2.babygenius2.Assign2.bin.ai2019.group18.OM-C..Users.ana.Documents.University.Delft.Year.1.Quarter.1.Artificial.Intelligence.Techniques.Practical.Assignments.A2.babygenius2.Assign2.bin.ai2019.group18.Strategist@1,(Offer  bid:Bid[Number of Wind Turbines: larger than 100, less than or equal to 120, Price Per Wind Turbine: fair, Sound: loud and noisy, Spacing: far to each other, Size Of Wind Turbines: largest in the world, Onshore or Offshore: offshore, Material: carbon fiber])
81,1,0.4008037,PonPokoAgent@0,(Offer  bid:Bid[Number of Wind Turbines: larger than 120, less than or equal to 140, Price Per Wind Turbine: expensive, Sound: nearly slient, Spacing: as close as possible, Size Of Wind Turbines: smaller than most of wind turbines around the world, Onshore or Offshore: offshore, Material: glass fiber])
81,2,0.4036628,boa-C..Users.ana.Documents.University.Delft.Year.1.Quarter.1.Artificial.Intelligence.Techniques.Practical.Assignments.A2.babygenius2.Assign2.bin.ai2019.group18.Bidder-C..Users.ana.Documents.University.Delft.Year.1.Quarter.1.Artificial.Intelligence.Techniques.Practical.Assignments.A2.babygenius2.Assign2.bin.ai2019.group18.Acceptor-C..Users.ana.Documents.University.Delft.Year.1.Quarter.1.Artificial.Intelligence.Techniques.Practical.Assignments.A2.babygenius2.Assign2.bin.ai2019.group18.OM-C..Users.ana.Documents.University.Delft.Year.1.Quarter.1.Artificial.Intelligence.Techniques.Practical.Assignments.A2.babygenius2.Assign2.bin.ai2019.group18.Strategist@1,(Offer  bid:Bid[Number of Wind Turbines: larger than 100, less than or equal to 120, Price Per Wind Turbine: fair, Sound: loud and noisy, Spacing: far to each other, Size Of Wind Turbines: largest in the world, Onshore or Offshore: offshore, Material: carbon fiber])
82,1,0.4040650666666667,PonPokoAgent@0,(Offer  bid:Bid[Number of Wind Turbines: larger than 80, less than or equal to 100, Price Per Wind Turbine: very expensive, Sound: nearly slient, Spacing: as close as possible, Size Of Wind Turbines: average size of wind turbines around the world, Onshore or Offshore: offshore, Material: carbon fiber])
82,2,0.40569536666666667,boa-C..Users.ana.Documents.University.Delft.Year.1.Quarter.1.Artificial.Intelligence.Techniques.Practical.Assignments.A2.babygenius2.Assign2.bin.ai2019.group18.Bidder-C..Users.ana.Documents.University.Delft.Year.1.Quarter.1.Artificial.Intelligence.Techniques.Practical.Assignments.A2.babygenius2.Assign2.bin.ai2019.group18.Acceptor-C..Users.ana.Documents.University.Delft.Year.1.Quarter.1.Artificial.Intelligence.Techniques.Practical.Assignments.A2.babygenius2.Assign2.bin.ai2019.group18.OM-C..Users.ana.Documents.University.Delft.Year.1.Quarter.1.Artificial.Intelligence.Techniques.Practical.Assignments.A2.babygenius2.Assign2.bin.ai2019.group18.Strategist@1,(Offer  bid:Bid[Number of Wind Turbines: larger than 100, less than or equal to 120, Price Per Wind Turbine: fair, Sound: loud and noisy, Spacing: far to each other, Size Of Wind Turbines: largest in the world, Onshore or Offshore: offshore, Material: carbon fiber])
83,1,0.41608063333333334,PonPokoAgent@0,(Offer  bid:Bid[Number of Wind Turbines: larger than 60, less than or equal to 80, Price Per Wind Turbine: fair, Sound: nearly slient, Spacing: fairly close, Size Of Wind Turbines: smaller than most of wind turbines around the world, Onshore or Offshore: onshore, Material: carbon fiber])
83,2,0.41721283333333337,boa-C..Users.ana.Documents.University.Delft.Year.1.Quarter.1.Artificial.Intelligence.Techniques.Practical.Assignments.A2.babygenius2.Assign2.bin.ai2019.group18.Bidder-C..Users.ana.Documents.University.Delft.Year.1.Quarter.1.Artificial.Intelligence.Techniques.Practical.Assignments.A2.babygenius2.Assign2.bin.ai2019.group18.Acceptor-C..Users.ana.Documents.University.Delft.Year.1.Quarter.1.Artificial.Intelligence.Techniques.Practical.Assignments.A2.babygenius2.Assign2.bin.ai2019.group18.OM-C..Users.ana.Documents.University.Delft.Year.1.Quarter.1.Artificial.Intelligence.Techniques.Practical.Assignments.A2.babygenius2.Assign2.bin.ai2019.group18.Strategist@1,(Offer  bid:Bid[Number of Wind Turbines: larger than 100, less than or equal to 120, Price Per Wind Turbine: fair, Sound: loud and noisy, Spacing: far to each other, Size Of Wind Turbines: largest in the world, Onshore or Offshore: offshore, Material: carbon fiber])
84,1,0.41769379999999995,PonPokoAgent@0,(Offer  bid:Bid[Number of Wind Turbines: larger than 120, less than or equal to 140, Price Per Wind Turbine: very expensive, Sound: nearly slient, Spacing: far to each other, Size Of Wind Turbines: larger than most of wind turbines around the world, Onshore or Offshore: offshore, Material: carbon fiber])
84,2,0.42297650000000003,boa-C..Users.ana.Documents.University.Delft.Year.1.Quarter.1.Artificial.Intelligence.Techniques.Practical.Assignments.A2.babygenius2.Assign2.bin.ai2019.group18.Bidder-C..Users.ana.Documents.University.Delft.Year.1.Quarter.1.Artificial.Intelligence.Techniques.Practical.Assignments.A2.babygenius2.Assign2.bin.ai2019.group18.Acceptor-C..Users.ana.Documents.University.Delft.Year.1.Quarter.1.Artificial.Intelligence.Techniques.Practical.Assignments.A2.babygenius2.Assign2.bin.ai2019.group18.OM-C..Users.ana.Documents.University.Delft.Year.1.Quarter.1.Artificial.Intelligence.Techniques.Practical.Assignments.A2.babygenius2.Assign2.bin.ai2019.group18.Strategist@1,(Offer  bid:Bid[Number of Wind Turbines: larger than 100, less than or equal to 120, Price Per Wind Turbine: fair, Sound: loud and noisy, Spacing: far to each other, Size Of Wind Turbines: largest in the world, Onshore or Offshore: offshore, Material: carbon fiber])
85,1,0.4258044,PonPokoAgent@0,(Offer  bid:Bid[Number of Wind Turbines: larger than 140, Price Per Wind Turbine: very expensive, Sound: nearly slient, Spacing: fairly close, Size Of Wind Turbines: larger than most of wind turbines around the world, Onshore or Offshore: onshore, Material: carbon fiber])
85,2,0.42675816666666666,boa-C..Users.ana.Documents.University.Delft.Year.1.Quarter.1.Artificial.Intelligence.Techniques.Practical.Assignments.A2.babygenius2.Assign2.bin.ai2019.group18.Bidder-C..Users.ana.Documents.University.Delft.Year.1.Quarter.1.Artificial.Intelligence.Techniques.Practical.Assignments.A2.babygenius2.Assign2.bin.ai2019.group18.Acceptor-C..Users.ana.Documents.University.Delft.Year.1.Quarter.1.Artificial.Intelligence.Techniques.Practical.Assignments.A2.babygenius2.Assign2.bin.ai2019.group18.OM-C..Users.ana.Documents.University.Delft.Year.1.Quarter.1.Artificial.Intelligence.Techniques.Practical.Assignments.A2.babygenius2.Assign2.bin.ai2019.group18.Strategist@1,(Offer  bid:Bid[Number of Wind Turbines: larger than 100, less than or equal to 120, Price Per Wind Turbine: fair, Sound: loud and noisy, Spacing: far to each other, Size Of Wind Turbines: largest in the world, Onshore or Offshore: offshore, Material: carbon fiber])
86,1,0.42752686666666667,PonPokoAgent@0,(Offer  bid:Bid[Number of Wind Turbines: larger than 20, less than or equal to 40, Price Per Wind Turbine: very expensive, Sound: nearly slient, Spacing: fairly close, Size Of Wind Turbines: largest in the world, Onshore or Offshore: onshore, Material: carbon fiber])
86,2,0.4286570333333333,boa-C..Users.ana.Documents.University.Delft.Year.1.Quarter.1.Artificial.Intelligence.Techniques.Practical.Assignments.A2.babygenius2.Assign2.bin.ai2019.group18.Bidder-C..Users.ana.Documents.University.Delft.Year.1.Quarter.1.Artificial.Intelligence.Techniques.Practical.Assignments.A2.babygenius2.Assign2.bin.ai2019.group18.Acceptor-C..Users.ana.Documents.University.Delft.Year.1.Quarter.1.Artificial.Intelligence.Techniques.Practical.Assignments.A2.babygenius2.Assign2.bin.ai2019.group18.OM-C..Users.ana.Documents.University.Delft.Year.1.Quarter.1.Artificial.Intelligence.Techniques.Practical.Assignments.A2.babygenius2.Assign2.bin.ai2019.group18.Strategist@1,(Offer  bid:Bid[Number of Wind Turbines: larger than 100, less than or equal to 120, Price Per Wind Turbine: fair, Sound: loud and noisy, Spacing: far to each other, Size Of Wind Turbines: largest in the world, Onshore or Offshore: offshore, Material: carbon fiber])
87,1,0.4291278333333333,PonPokoAgent@0,(Offer  bid:Bid[Number of Wind Turbines: larger than 140, Price Per Wind Turbine: very expensive, Sound: nearly slient, Spacing: fairly close, Size Of Wind Turbines: average size of wind turbines around the world, Onshore or Offshore: onshore, Material: carbon fiber])
87,2,0.4306612,boa-C..Users.ana.Documents.University.Delft.Year.1.Quarter.1.Artificial.Intelligence.Techniques.Practical.Assignments.A2.babygenius2.Assign2.bin.ai2019.group18.Bidder-C..Users.ana.Documents.University.Delft.Year.1.Quarter.1.Artificial.Intelligence.Techniques.Practical.Assignments.A2.babygenius2.Assign2.bin.ai2019.group18.Acceptor-C..Users.ana.Documents.University.Delft.Year.1.Quarter.1.Artificial.Intelligence.Techniques.Practical.Assignments.A2.babygenius2.Assign2.bin.ai2019.group18.OM-C..Users.ana.Documents.University.Delft.Year.1.Quarter.1.Artificial.Intelligence.Techniques.Practical.Assignments.A2.babygenius2.Assign2.bin.ai2019.group18.Strategist@1,(Offer  bid:Bid[Number of Wind Turbines: larger than 100, less than or equal to 120, Price Per Wind Turbine: fair, Sound: loud and noisy, Spacing: far to each other, Size Of Wind Turbines: largest in the world, Onshore or Offshore: offshore, Material: carbon fiber])
88,1,0.43110576666666667,PonPokoAgent@0,(Offer  bid:Bid[Number of Wind Turbines: larger than 140, Price Per Wind Turbine: fair, Sound: nearly slient, Spacing: fairly close, Size Of Wind Turbines: largest in the world, Onshore or Offshore: onshore, Material: carbon fiber])
88,2,0.4319471666666667,boa-C..Users.ana.Documents.University.Delft.Year.1.Quarter.1.Artificial.Intelligence.Techniques.Practical.Assignments.A2.babygenius2.Assign2.bin.ai2019.group18.Bidder-C..Users.ana.Documents.University.Delft.Year.1.Quarter.1.Artificial.Intelligence.Techniques.Practical.Assignments.A2.babygenius2.Assign2.bin.ai2019.group18.Acceptor-C..Users.ana.Documents.University.Delft.Year.1.Quarter.1.Artificial.Intelligence.Techniques.Practical.Assignments.A2.babygenius2.Assign2.bin.ai2019.group18.OM-C..Users.ana.Documents.University.Delft.Year.1.Quarter.1.Artificial.Intelligence.Techniques.Practical.Assignments.A2.babygenius2.Assign2.bin.ai2019.group18.Strategist@1,(Offer  bid:Bid[Number of Wind Turbines: larger than 100, less than or equal to 120, Price Per Wind Turbine: fair, Sound: loud and noisy, Spacing: far to each other, Size Of Wind Turbines: largest in the world, Onshore or Offshore: offshore, Material: carbon fiber])
89,1,0.4324185333333333,PonPokoAgent@0,(Offer  bid:Bid[Number of Wind Turbines: larger than 20, less than or equal to 40, Price Per Wind Turbine: fair, Sound: nearly slient, Spacing: as close as possible, Size Of Wind Turbines: average size of wind turbines around the world, Onshore or Offshore: offshore, Material: carbon fiber])
